run_id,run_ts,model,window_start,window_end,window_n,model_version,reference_window,metric_kind,feature,value,reference,band,alert
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,chronic_flag,0.03471048513302033,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,department,0.004567459410800822,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,prior_rejection_rate,0.004039714956176106,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,prior_rejection_rate,0.020088722932324832,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,prior_rejection_count,0.0030067311732774214,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,prior_rejection_count,0.019280125195618114,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,day_of_week,0.002654454319029919,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,day_of_week,0.011768388106416228,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,gender,0.0020405069579861913,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,month,0.0017811959567058861,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_ks,month,0.01918622848200313,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,is_weekend,0.0003133668214881236,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:44.895841+00:00,A,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,has_prior_visit,0.0001088832576913458,0.0,stable,False
