variant,cls,mean_predicted,observed_freq
uncalibrated,Paid,0.24347405276087186,0.5159474671669794
uncalibrated,Paid,0.255666711454583,0.5093984962406015
uncalibrated,Paid,0.2757804159587548,0.5609756097560976
uncalibrated,Paid,0.3126833993411008,0.5789473684210527
uncalibrated,Paid,0.34077497810286783,0.5676691729323309
uncalibrated,Paid,0.39415228374386324,0.651031894934334
uncalibrated,Paid,0.4560971675324254,0.6541353383458647
uncalibrated,Paid,0.5669998991714796,0.7786116322701688
uncalibrated,Pending,0.2834421131298913,0.24202626641651032
uncalibrated,Pending,0.3029921655079656,0.24436090225563908
uncalibrated,Pending,0.3175891765360935,0.225140712945591
uncalibrated,Pending,0.33331906942291817,0.2593984962406015
uncalibrated,Pending,0.34694590001850173,0.25375939849624063
uncalibrated,Pending,0.3629261339915716,0.2870544090056285
uncalibrated,Pending,0.3836491325665013,0.2631578947368421
uncalibrated,Pending,0.42399599720902403,0.26641651031894936
uncalibrated,Rejected,0.08135526796247425,0.039399624765478425
uncalibrated,Rejected,0.15427195415719064,0.046992481203007516
uncalibrated,Rejected,0.2370889421515419,0.08818011257035648
uncalibrated,Rejected,0.2888560912434794,0.12969924812030076
uncalibrated,Rejected,0.3396890433768642,0.15601503759398497
uncalibrated,Rejected,0.39869338267495885,0.19887429643527205
uncalibrated,Rejected,0.4403986038858609,0.24060150375939848
uncalibrated,Rejected,0.45907433614163784,0.24202626641651032
calibrated,Paid,0.4913003091663286,0.4915572232645403
calibrated,Paid,0.5028771423447496,0.5582706766917294
calibrated,Paid,0.5300455972185663,0.5347091932457786
calibrated,Paid,0.5729708565467699,0.5545112781954887
calibrated,Paid,0.604320200776014,0.5921052631578947
calibrated,Paid,0.6447728500164397,0.6378986866791745
calibrated,Paid,0.6928895173962705,0.6954887218045113
calibrated,Paid,0.734040390365012,0.7523452157598499
calibrated,Pending,0.23226319551282842,0.2270168855534709
calibrated,Pending,0.2375569603267899,0.24812030075187969
calibrated,Pending,0.24006874174319948,0.24577861163227016
calibrated,Pending,0.24252283764482965,0.2631578947368421
calibrated,Pending,0.24542422368974542,0.2744360902255639
calibrated,Pending,0.24845134224907814,0.2682926829268293
calibrated,Pending,0.252741553808606,0.22180451127819548
calibrated,Pending,0.2596447131015034,0.2926829268292683
calibrated,Rejected,0.022279040026113823,0.039399624765478425
calibrated,Rejected,0.055398424831522915,0.046992481203007516
calibrated,Rejected,0.11031170518950716,0.0900562851782364
calibrated,Rejected,0.14558573942332498,0.13345864661654136
calibrated,Rejected,0.18153437089376157,0.15037593984962405
calibrated,Rejected,0.22404346456015498,0.2026266416510319
calibrated,Rejected,0.2584309199243319,0.2161654135338346
calibrated,Rejected,0.2705113680618265,0.2626641651031895
